Sample Rate:	1000.000000
Time (s)	ECG	GSC
0.694000	-0.038975	0.026463
0.695000	-0.037085	0.026464
0.696000	-0.035116	0.026465
0.697000	-0.033345	0.026465
0.698000	-0.032074	0.026466
0.699000	-0.031363	0.026466
0.700000	-0.030947	0.026466
0.701000	-0.030509	0.026467
0.702000	-0.029914	0.026467
0.703000	-0.029238	0.026467
0.704000	-0.028588	0.026467
0.705000	-0.027932	0.026468
0.706000	-0.027167	0.026468
0.707000	-0.026186	0.026468
0.708000	-0.024770	0.026468
0.709000	-0.022980	0.026468
0.710000	-0.021436	0.026468
0.711000	-0.020569	0.026468
0.712000	-0.020131	0.026467
0.713000	-0.019644	0.026467
0.714000	-0.018873	0.026467
0.715000	-0.017904	0.026467
0.716000	-0.016886	0.026466
0.717000	-0.015783	0.026466
0.718000	-0.014406	0.026466
0.719000	-0.012721	0.026465
0.720000	-0.011083	0.026465
0.721000	-0.009907	0.026464
0.722000	-0.009121	0.026464
0.723000	-0.008368	0.026463
0.724000	-0.007642	0.026462
0.725000	-0.007240	0.026462
0.726000	-0.007272	0.026461
0.727000	-0.007446	0.026460
0.728000	-0.007359	0.026459
0.729000	-0.006946	0.026459
0.730000	-0.006446	0.026458
0.731000	-0.006116	0.026457
0.732000	-0.006038	0.026456
0.733000	-0.006011	0.026455
0.734000	-0.005745	0.026454
0.735000	-0.005245	0.026453
0.736000	-0.004810	0.026452
0.737000	-0.004647	0.026451
0.738000	-0.004721	0.026449
0.739000	-0.004953	0.026448
0.740000	-0.005336	0.026447
0.741000	-0.005777	0.026446
0.742000	-0.006072	0.026445
0.743000	-0.006190	0.026443
0.744000	-0.006298	0.026442
0.745000	-0.006477	0.026440
0.746000	-0.006645	0.026439
0.747000	-0.006706	0.026438
0.748000	-0.006661	0.026436
0.749000	-0.006618	0.026435
0.750000	-0.006628	0.026433
0.751000	-0.006600	0.026432
0.752000	-0.006509	0.026430
0.753000	-0.006441	0.026428
0.754000	-0.006285	0.026427
0.755000	-0.005653	0.026425
0.756000	-0.004349	0.026423
0.757000	-0.002758	0.026422
0.758000	-0.001503	0.026420
0.759000	-0.000806	0.026418
0.760000	-0.000368	0.026416
0.761000	0.000093	0.026414
0.762000	0.000531	0.026413
0.763000	0.000889	0.026411
0.764000	0.001254	0.026409
0.765000	0.001621	0.026407
0.766000	0.001879	0.026405
0.767000	0.001956	0.026403
0.768000	0.001899	0.026401
0.769000	0.001789	0.026399
0.770000	0.001631	0.026397
0.771000	0.001499	0.026395
0.772000	0.001607	0.026393
0.773000	0.002140	0.026391
0.774000	0.003053	0.026389
0.775000	0.003890	0.026386
0.776000	0.004103	0.026384
0.777000	0.003664	0.026382
0.778000	0.003009	0.026380
0.779000	0.002606	0.026378
0.780000	0.002726	0.026375
0.781000	0.003337	0.026373
0.782000	0.004045	0.026371
0.783000	0.004337	0.026369
0.784000	0.003997	0.026366
0.785000	0.003153	0.026364
0.786000	0.002049	0.026362
0.787000	0.000881	0.026359
0.788000	-0.000218	0.026357
0.789000	-0.001081	0.026355
0.790000	-0.001607	0.026352
0.791000	-0.001946	0.026350
0.792000	-0.002334	0.026347
0.793000	-0.002760	0.026345
0.794000	-0.002974	0.026342
0.795000	-0.002814	0.026340
0.796000	-0.002366	0.026337
0.797000	-0.001825	0.026335
0.798000	-0.001346	0.026332
0.799000	-0.001007	0.026330
0.800000	-0.000743	0.026327
0.801000	-0.000363	0.026324
0.802000	0.000282	0.026322
0.803000	0.001173	0.026319
0.804000	0.002215	0.026317
0.805000	0.003210	0.026314
0.806000	0.003835	0.026311
0.807000	0.004007	0.026309
0.808000	0.003937	0.026306
0.809000	0.003829	0.026303
0.810000	0.003797	0.026301
0.811000	0.003923	0.026298
0.812000	0.004265	0.026295
0.813000	0.004748	0.026292
0.814000	0.005171	0.026290
0.815000	0.005510	0.026287
0.816000	0.006088	0.026284
0.817000	0.007204	0.026281
0.818000	0.008670	0.026279
0.819000	0.009970	0.026276
0.820000	0.010720	0.026273
0.821000	0.010868	0.026270
0.822000	0.010595	0.026267
0.823000	0.010181	0.026264
0.824000	0.009902	0.026262
0.825000	0.009861	0.026259
0.826000	0.010027	0.026256
0.827000	0.010468	0.026253
0.828000	0.011128	0.026250
0.829000	0.011592	0.026247
0.830000	0.011473	0.026244
0.831000	0.010787	0.026241
0.832000	0.009882	0.026238
